position_m,lateral_offset_m
14.761,4.6503
16.761,4.6889
18.761,4.7249
20.761,4.7683
22.761,4.8152
24.761,4.8554
26.761,4.8825
28.761,4.8982
30.761,4.9044
32.761,4.9101
34.761,4.9192
36.761,4.9296
38.761,4.9473
40.761,4.9669
42.761,4.9852
44.761,4.9997
46.761,5.0158
48.761,5.0243
50.761,5.0347
52.761,5.0456
54.761,5.0563
56.761,5.0636
58.761,5.0700
60.761,5.0703
62.761,5.0763
64.761,5.0849
66.761,5.0997
68.761,5.1258
70.761,5.1567
72.761,5.1842
74.761,5.2066
76.761,5.2256
78.761,5.2265
80.761,5.2416
82.761,5.2642
84.761,5.2931
86.761,5.3249
88.761,5.3791
90.761,5.4201
92.761,5.4642
94.761,5.4943
96.761,5.5109
98.761,5.5033
100.761,5.4916
102.761,5.4699
104.761,5.4571
106.761,5.4413
108.761,5.4519
110.761,5.4439
112.761,5.4392
114.761,5.4357
116.761,5.4467
118.761,5.4488
120.761,5.4733
122.761,5.5008
124.761,5.5275
126.761,5.5588
128.761,5.5806
130.761,5.6089
132.761,5.6248
134.761,5.6454
136.761,5.6540
138.761,5.6749
140.761,5.6750
142.761,5.6802
144.761,5.6723
146.761,5.6637
148.761,5.6416
150.761,5.6354
152.761,5.6306
154.761,5.6299
156.761,5.6379
158.761,5.6587
160.761,5.6797
162.761,5.7074
164.761,5.7469
166.761,5.7902
168.761,5.8295
170.761,5.8719
172.761,5.9109
174.761,5.9543
176.761,5.9909
178.761,6.0333
180.761,6.0583
182.761,6.0831
184.761,6.0927
186.761,6.0955
188.761,6.0879
190.761,6.0842
192.761,6.0683
194.761,6.0638
196.761,6.0535
198.761,6.0427
200.761,6.0246
202.761,6.0135
204.761,5.9923
206.761,5.9778
208.761,5.9642
210.761,5.9594
212.761,5.9581
214.761,5.9499
216.761,5.9511
218.761,5.9462
220.761,5.9378
222.761,5.9276
224.761,5.9208
226.761,5.9126
228.761,5.8972
230.761,5.8917
232.761,5.8806
234.761,5.8719
236.761,5.8629
238.761,5.8508
240.761,5.8459
242.761,5.8301
244.761,5.8177
246.761,5.7848
248.761,5.7696
250.761,5.7497
252.761,5.7339
254.761,5.7001
256.761,5.6818
258.761,5.6629
260.761,5.6244
262.761,5.5976
264.761,5.5840
266.761,5.5804
268.761,5.5819
270.761,5.5863
272.761,5.5926
274.761,5.5966
276.761,5.5932
278.761,5.5799
280.761,5.5878
282.761,5.5911
284.761,5.6111
286.761,5.6292
288.761,5.6519
290.761,5.6733
292.761,5.6942
294.761,5.7043
296.761,5.7177
298.761,5.7391
300.761,5.7467
302.761,5.7563
304.761,5.7623
306.761,5.7659
308.761,5.7459
310.761,5.7222
312.761,5.7010
314.761,5.6766
316.761,5.6694
318.761,5.6668
320.761,5.6750
322.761,5.6735
324.761,5.6902
326.761,5.6909
328.761,5.6942
330.761,5.6964
332.761,5.7071
334.761,5.7163
336.761,5.7259
338.761,5.7341
340.761,5.7436
342.761,5.7584
344.761,5.7569
346.761,5.7600
348.761,5.7792
350.761,5.7940
352.761,5.8141
354.761,5.8373
356.761,5.8585
358.761,5.8782
360.761,5.9060
362.761,5.9135
364.761,5.9234
366.761,5.9315
368.761,5.9437
370.761,5.9266
372.761,5.9275
374.761,5.9245
376.761,5.9126
378.761,5.8957
380.761,5.8984
382.761,5.8803
384.761,5.8738
386.761,5.8562
388.761,5.8329
390.761,5.7977
392.761,5.7752
394.761,5.7520
396.761,5.7312
398.761,5.7186
400.761,5.7108
402.761,5.7128
404.761,5.7039
406.761,5.7121
408.761,5.7066
410.761,5.7185
412.761,5.7188
414.761,5.7294
416.761,5.7313
418.761,5.7448
420.761,5.7478
422.761,5.7500
424.761,5.7632
426.761,5.7759
428.761,5.7778
430.761,5.7931
432.761,5.8013
434.761,5.8004
436.761,5.8123
438.761,5.8205
440.761,5.8250
442.761,5.8280
444.761,5.8328
446.761,5.8345
448.761,5.8293
450.761,5.8216
452.761,5.8211
454.761,5.8114
456.761,5.8005
458.761,5.7935
460.761,5.7777
462.761,5.7741
464.761,5.7636
466.761,5.7534
468.761,5.7500
470.761,5.7521
472.761,5.7413
474.761,5.7417
476.761,5.7448
478.761,5.7432
480.761,5.7535
482.761,5.7684
484.761,5.7883
486.761,5.8154
488.761,5.8590
490.761,5.8925
492.761,5.9260
494.761,5.9566
496.761,5.9881
498.761,6.0074
500.761,6.0237
502.761,6.0369
504.761,6.0493
506.761,6.0460
508.761,6.0433
510.761,6.0448
512.761,6.0382
514.761,6.0196
516.761,5.9944
518.761,5.9810
520.761,5.9454
522.761,5.9128
524.761,5.8890
526.761,5.8643
528.761,5.8279
530.761,5.8038
532.761,5.7860
534.761,5.7661
536.761,5.7546
538.761,5.7548
540.761,5.7616
542.761,5.7800
544.761,5.7876
546.761,5.7950
548.761,5.7981
550.761,5.7946
552.761,5.7945
554.761,5.8133
556.761,5.8351
558.761,5.8441
560.761,5.8645
562.761,5.8674
564.761,5.8564
566.761,5.8521
568.761,5.8555
570.761,5.8588
572.761,5.8628
574.761,5.8802
576.761,5.8882
578.761,5.9077
580.761,5.9388
582.761,5.9809
584.761,6.0225
586.761,6.0861
588.761,6.1330
590.761,6.1697
592.761,6.1886
594.761,6.2120
596.761,6.2175
598.761,6.2257
600.761,6.2344
602.761,6.2567
604.761,6.2591
606.761,6.2599
608.761,6.2638
610.761,6.2567
612.761,6.2515
614.761,6.2536
616.761,6.2486
618.761,6.2595
620.761,6.2569
622.761,6.2701
624.761,6.2668
626.761,6.2686
628.761,6.2598
630.761,6.2760
632.761,6.2527
634.761,6.2418
636.761,6.2474
638.761,6.2358
640.761,6.2308
642.761,6.2310
644.761,6.2349
646.761,6.2193
648.761,6.2113
650.761,6.1986
652.761,6.1799
654.761,6.1828
656.761,6.2132
